TripCount,Frequency
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,1
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,3
51,0
52,0
53,1
54,2
55,1
56,2
57,2
58,3
59,1
60,2
61,4
62,4
63,2
64,7
65,4
66,8
67,6
68,9
69,6
70,11
71,13
72,16
73,9
74,14
75,23
76,26
77,30
78,27
79,22
80,47
81,63
82,61
83,88
84,102
85,114
86,145
87,180
88,252
89,297
90,428
91,582
92,718
93,922
94,1109
95,1268
96,1209
97,1099
98,736
99,319
